user_id,date,renderedContent
19462713,2023-04-14 22:02:03+00:00,I rated Babylon (2022) 8/10 #IMDb imdb.com/title/tt106403…
88296327,2023-04-14 22:01:46+00:00,I rated Shazam! Fury of the Gods (2023) 10/10 #IMDb imdb.com/title/tt101518…
88296327,2023-04-14 22:01:36+00:00,I rated 65 (2023) 10/10 #IMDb imdb.com/title/tt122617…
88296327,2023-04-14 22:01:19+00:00,I rated Dungeons &amp; Dragons: Honor Among Thieves (2023) 10/10 #IMDb imdb.com/title/tt2906216
88296327,2023-04-14 22:01:08+00:00,I rated #Suzume (2022) 10/10 #IMDb  imdb.com/title/tt164282…
1854967052,2023-04-14 21:36:07+00:00,I rated The Last Kingdom: Seven Kings Must Die (2023) 10/10 #IMDb imdb.com/title/tt157678…
390883931,2023-04-14 21:35:18+00:00,I rated Everything Everywhere All at Once (2022) 7/10 #IMDb imdb.com/title/tt6710474
115037602,2023-04-14 21:33:14+00:00,I rated The Lodge (2008) 4/10 #IMDb low budget and not good. imdb.com/title/tt0475323
103903562,2023-04-14 21:29:21+00:00,I rated Создавая Убийцу (2015–2018) 10/10 #IMDb это просто ядерный разрыв пизды максимально допустимого уровня imdb.com/title/tt5189670
136863216,2023-04-14 21:18:16+00:00,I rated Earthfall (2015) 2/10 #IMDb imdb.com/title/tt3630556
116154122,2023-04-14 20:48:07+00:00,I rated Renfield (2023) 6/10 #IMDb It’s an odd mix of styles and genres - some of it works and some doesn’t. Cage is brilliantly campy and tears up the scenery.  imdb.com/title/tt113583…
917434772854632448,2023-04-14 20:42:20+00:00,"I rated The Last Kingdom: Seven Kings Must Die (2023) 9/10 #IMDb
نهايه عظيمه ❤️ imdb.com/title/tt157678…"
188480954,2023-04-14 20:38:42+00:00,I rated Shazam! Fury of the Gods (2023) 6/10 #IMDb imdb.com/title/tt101518…
377249170,2023-04-14 20:35:55+00:00,I rated The Night Manager (2016–2016) 7/10 #IMDb imdb.com/title/tt1399664
61161029,2023-04-14 20:23:46+00:00,I rated Vidnet (1985) 6/10 #IMDb imdb.com/title/tt0090329
1117557595747815427,2023-04-14 20:14:45+00:00,I rated This Is Us (2016–2022) 10/10  #IMDb Here we are 🥲❤️❤️❤️❤️ imdb.com/title/tt5555260
115037602,2023-04-14 20:09:29+00:00,I rated Blind Dating (2006) 5/10 #IMDb didn’t really see the point of this one 😎 imdb.com/title/tt0454084
105665623,2023-04-14 20:00:03+00:00,I rated Nobody (2021) 7/10 #IMDb imdb.com/title/tt7888964
26531700,2023-04-14 19:47:37+00:00,I rated Troja (2004) 6/10 #IMDb imdb.com/title/tt0332452
29994990,2023-04-14 19:44:41+00:00,I rated Grease: Rise of the Pink Ladies (2023– ) 8/10 #IMDb imdb.com/title/tt111273…
376017783,2023-04-14 19:14:49+00:00,I rated Me Time (2022) 2/10 #IMDb imdb.com/title/tt143094…
115037602,2023-04-14 19:13:04+00:00,I rated Defiance (2008) 7/10 #IMDb brutal true story WW2 drama. imdb.com/title/tt1034303
1131650342301642754,2023-04-14 19:12:53+00:00,"عجبني بس الجزء السابق اجمل🧍‍♂️.
I rated X-Men: Days of Future Past (2014) 8.5/10 #IMDb imdb.com/title/tt1877832"
27103048,2023-04-14 19:09:55+00:00,I rated The Super Mario Bros. Movie (2023) 9/10 #IMDb imdb.com/title/tt6718170
257611566,2023-04-14 19:06:00+00:00,"I rated The Fast Kill (1972) 5/10 #IMDb

Not the best copy. Car chase is great. ⁦@VideoArchives⁩  imdb.com/title/tt0068574"
1139883687443619840,2023-04-14 18:53:45+00:00,I rated The Best offer (2013) 8/10 #IMDb imdb.com/title/tt1924396
753227835196735488,2023-04-14 18:48:13+00:00,"دوي لاااا 😭💔💔💔💔💔💔💔
I rated Scream (2022) 7/10 #IMDb imdb.com/title/tt112459…"
213987411,2023-04-14 18:44:56+00:00,I rated Шазам! Ярость богов (2023) 6/10  #IMDb imdb.com/title/tt101518…
36988769,2023-04-14 18:43:56+00:00,I rated (2007) 3/10 #IMDb #MaVieNestPasUneComedieRomantique #french #romcom #netflix  imdb.com/title/tt0910911
36988769,2023-04-14 18:39:37+00:00,I rated #OldBoys (2018) 4/10 #IMDb #british #drama #svtplay imdb.com/title/tt5724948
1257495649999822848,2023-04-14 18:32:06+00:00,"I rated Hunter x Hunter: Zero × and × Rose (S1.E126) 10/10 #IMDb 
بعيد الحلقه اليوم مره ثانيه 🤯🤯🤯🤯🤯 imdb.com/title/tt3673600"
1715185778,2023-04-14 18:25:43+00:00,I rated The Last Kingdom: Seven Kings Must Die (2023) 10/10 #IMDb  imdb.com/title/tt157678…
471894826,2023-04-14 18:24:58+00:00,I rated The Apartment (1960) 8/10 #IMDb imdb.com/title/tt0053604
24057262,2023-04-14 18:22:44+00:00,I rated The Last Dance (2020–2020) 10/10 #IMDb imdb.com/title/tt8420184
847513417531428869,2023-04-14 18:06:16+00:00,I rated The Royal Tenenbaums (2001) 6/10 #IMDb imdb.com/title/tt0265666
4738161262,2023-04-14 18:05:59+00:00,I rated The Unbearable Weight of Massive Talent (2022) 7/10 #IMDb imdb.com/title/tt112912…
14650444,2023-04-14 18:03:36+00:00,"Nicholas Cage and Nicholas Hoult in a cheesy, over-the-top, gory Dracula movie! What’s not to love? 

This was a fun B-Grade horror flick. Buy a big tub of popcorn! 🍿

I rated #Renfield (2023) 7/10 #IMDb imdb.com/title/tt113583…"
322089163,2023-04-14 17:56:41+00:00,I rated JoJo's Bizarre Adventure: Tawâ obu Gurê (S2.E4) 7/10 #IMDb  imdb.com/title/tt3700142
14147989,2023-04-14 17:23:40+00:00,I rated The Osterman Weekend (1983) 3/10 #IMDb imdb.com/title/tt0086058
1595518861,2023-04-14 17:15:25+00:00,I rated Howards End (1992) 9/10 #IMDb imdb.com/title/tt0104454
62522627,2023-04-14 17:11:16+00:00,Not for me…I rated Todo a la vez en todas partes (2022) 2/10 #IMDb imdb.com/title/tt6710474
1446936253,2023-04-14 16:59:47+00:00,I rated Renfield (2023) 7/10 #IMDb imdb.com/title/tt113583…
