,links
56,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7798604', 'url': 'https://www.imdb.com/title/tt7798604', 'tcourl': 'https://t.co/NqHs9XerGv', 'indices': [42, 65]}]"
57,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3155298', 'url': 'https://www.imdb.com/title/tt3155298', 'tcourl': 'https://t.co/PE1QyaPzNm', 'indices': [49, 72]}]"
58,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7693316', 'url': 'https://www.imdb.com/title/tt7693316', 'tcourl': 'https://t.co/1SDrhYPdJn', 'indices': [35, 58]}]"
59,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0090329', 'url': 'https://www.imdb.com/title/tt0090329', 'tcourl': 'https://t.co/cQWeE5mwsZ', 'indices': [35, 58]}]"
60,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142099…', 'url': 'https://www.imdb.com/title/tt14209916', 'tcourl': 'https://t.co/KCz4Xt02Ny', 'indices': [39, 62]}]"
61,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3581920', 'url': 'https://www.imdb.com/title/tt3581920', 'tcourl': 'https://t.co/UO6ARXyiiS', 'indices': [44, 67]}]"
62,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111451…', 'url': 'https://www.imdb.com/title/tt11145118', 'tcourl': 'https://t.co/8gIcJflKRV', 'indices': [36, 59]}]"
63,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt101518…', 'url': 'https://www.imdb.com/title/tt10151854', 'tcourl': 'https://t.co/18yA50QTgn', 'indices': [51, 74]}]"
64,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7985704', 'url': 'https://www.imdb.com/title/tt7985704', 'tcourl': 'https://t.co/FEhduBUwhA', 'indices': [60, 83]}]"
65,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0112769', 'url': 'https://www.imdb.com/title/tt0112769', 'tcourl': 'https://t.co/SkdG1tXizR', 'indices': [39, 62]}]"
66,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1020530', 'url': 'https://www.imdb.com/title/tt1020530', 'tcourl': 'https://t.co/L3vxe2qhN1', 'indices': [36, 59]}]"
67,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt5700672', 'url': 'https://www.imdb.com/title/tt5700672', 'tcourl': 'https://t.co/p79Tubh4JK', 'indices': [41, 64]}]"
68,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt115645…', 'url': 'https://www.imdb.com/title/tt11564570', 'tcourl': 'https://t.co/pkHSxfXqpm', 'indices': [61, 84]}]"
69,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3740788', 'url': 'https://www.imdb.com/title/tt3740788', 'tcourl': 'https://t.co/nvWPE9HIUr', 'indices': [56, 79]}]"
70,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt164190…', 'url': 'https://www.imdb.com/title/tt16419074', 'tcourl': 'https://t.co/0GNNm64r7J', 'indices': [36, 59]}]"
71,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142099…', 'url': 'https://www.imdb.com/title/tt14209916', 'tcourl': 'https://t.co/2z9W8iaJh4', 'indices': [39, 62]}]"
72,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111385…', 'url': 'https://www.imdb.com/title/tt11138512', 'tcourl': 'https://t.co/PRhLU77oev', 'indices': [62, 85]}]"
73,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157678…', 'url': 'https://www.imdb.com/title/tt15767808', 'tcourl': 'https://t.co/GY7OAIuZHe', 'indices': [66, 89]}]"
74,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0120794', 'url': 'https://www.imdb.com/title/tt0120794', 'tcourl': 'https://t.co/Ahsz9HExVm', 'indices': [45, 68]}]"
75,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt270336…', 'url': 'https://www.imdb.com/title/tt27033613', 'tcourl': 'https://t.co/rG0vEFMfPZ', 'indices': [148, 171]}]"
76,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0309698', 'url': 'https://www.imdb.com/title/tt0309698', 'tcourl': 'https://t.co/ED0VAIJtzM', 'indices': [36, 59]}]"
77,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3865332', 'url': 'https://www.imdb.com/title/tt3865332', 'tcourl': 'https://t.co/9aizunIzyt', 'indices': [68, 91]}]"
78,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3700140', 'url': 'https://www.imdb.com/title/tt3700140', 'tcourl': 'https://t.co/KJiSJydCuD', 'indices': [73, 96]}]"
79,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt8912936', 'url': 'https://www.imdb.com/title/tt8912936', 'tcourl': 'https://t.co/2mQAuZgtCm', 'indices': [94, 117]}]"
80,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7423538', 'url': 'https://www.imdb.com/title/tt7423538', 'tcourl': 'https://t.co/XhRc3O36rY', 'indices': [36, 59]}]"
81,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt008698…', 'url': 'https://www.imdb.com/title/tt0086984/', 'tcourl': 'https://t.co/DVv0JISN6p', 'indices': [34, 57]}]"
82,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0081184', 'url': 'https://www.imdb.com/title/tt0081184', 'tcourl': 'https://t.co/hcTA1ydQRe', 'indices': [147, 170]}]"
83,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt264204…', 'url': 'https://www.imdb.com/title/tt26420423', 'tcourl': 'https://t.co/nIfNEnacKs', 'indices': [92, 115]}]"
84,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1596363', 'url': 'https://www.imdb.com/title/tt1596363', 'tcourl': 'https://t.co/BUUwibUY4k', 'indices': [40, 63]}]"
85,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6475714', 'url': 'https://www.imdb.com/title/tt6475714', 'tcourl': 'https://t.co/aHsl2K042i', 'indices': [116, 139]}]"
86,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157910…', 'url': 'https://www.imdb.com/title/tt15791034', 'tcourl': 'https://t.co/0tSNRepS7D', 'indices': [49, 72]}]"
87,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt193671…', 'url': 'https://www.imdb.com/title/tt19367194', 'tcourl': 'https://t.co/GPayShn4P2', 'indices': [74, 97]}]"
88,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0947798', 'url': 'https://www.imdb.com/title/tt0947798', 'tcourl': 'https://t.co/QeGhZsJce5', 'indices': [38, 61]}]"
89,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157910…', 'url': 'https://www.imdb.com/title/tt15791034', 'tcourl': 'https://t.co/PEfM1ciEa0', 'indices': [37, 60]}]"
90,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0120164', 'url': 'https://www.imdb.com/title/tt0120164', 'tcourl': 'https://t.co/q86Hzkgk8t', 'indices': [53, 76]}]"
