,links
4960,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/VhXwALGPIl', 'indices': [215, 238]}]"
4961,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt131037…', 'url': 'https://www.imdb.com/title/tt13103732', 'tcourl': 'https://t.co/4ytroGB9Xt', 'indices': [100, 123]}]"
4962,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'm.imdb.com/title/tt157471…', 'url': 'https://m.imdb.com/title/tt15747172/?ref_=ext_shr_tw', 'tcourl': 'https://t.co/M9kadxFRKy', 'indices': [170, 193]}]"
4963,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt236282…', 'url': 'https://www.imdb.com/title/tt23628262', 'tcourl': 'https://t.co/JBva392Lnf', 'indices': [207, 230]}]"
4964,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4209788', 'url': 'https://www.imdb.com/title/tt4209788', 'tcourl': 'https://t.co/LctqlEb2P9', 'indices': [40, 63]}]"
4965,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0072251', 'url': 'https://www.imdb.com/title/tt0072251', 'tcourl': 'https://t.co/uGHchzuY97', 'indices': [61, 84]}]"
4966,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt137359…', 'url': 'https://www.imdb.com/title/tt13735930', 'tcourl': 'https://t.co/mnK50Hnh7g', 'indices': [57, 80]}]"
4967,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111385…', 'url': 'https://www.imdb.com/title/tt11138512', 'tcourl': 'https://t.co/oHu8Sejt8A', 'indices': [41, 64]}]"
4968,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1649418', 'url': 'https://www.imdb.com/title/tt1649418', 'tcourl': 'https://t.co/TEBKZMxMxL', 'indices': [39, 62]}]"
4969,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7405458', 'url': 'https://www.imdb.com/title/tt7405458', 'tcourl': 'https://t.co/BnNKTEn1HA', 'indices': [144, 167]}]"
4970,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/ZhpPsG5xcF', 'indices': [36, 59]}]"
4971,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt038168…', 'url': 'https://www.imdb.com/title/tt0381681/', 'tcourl': 'https://t.co/uyW60tf3uQ', 'indices': [34, 57]}]"
4972,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1022603', 'url': 'https://www.imdb.com/title/tt1022603', 'tcourl': 'https://t.co/sR2F0yPMUL', 'indices': [48, 71]}]"
4973,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt146594…', 'url': 'https://www.imdb.com/title/tt14659496', 'tcourl': 'https://t.co/dx1BKGzPaA', 'indices': [126, 149]}]"
4974,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0324133', 'url': 'https://www.imdb.com/title/tt0324133', 'tcourl': 'https://t.co/B1a0yxTdyW', 'indices': [40, 63]}]"
4975,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3661210', 'url': 'https://www.imdb.com/title/tt3661210', 'tcourl': 'https://t.co/1HbADune0n', 'indices': [34, 57]}]"
4976,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt144021…', 'url': 'https://www.imdb.com/title/tt14402146', 'tcourl': 'https://t.co/NfhAeMtXcQ', 'indices': [42, 65]}]"
4977,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt112125…', 'url': 'https://www.imdb.com/title/tt11212572', 'tcourl': 'https://t.co/8tIlX9cDuj', 'indices': [33, 56]}]"
4978,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt125734…', 'url': 'https://www.imdb.com/title/tt12573454', 'tcourl': 'https://t.co/uiyAWQ9W3g', 'indices': [34, 57]}]"
4979,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6966692', 'url': 'https://www.imdb.com/title/tt6966692', 'tcourl': 'https://t.co/O7opyouu69', 'indices': [37, 60]}]"
4980,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt219532…', 'url': 'https://www.imdb.com/title/tt21953244', 'tcourl': 'https://t.co/gDa1mbDGbS', 'indices': [55, 78]}]"
4981,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9764362', 'url': 'https://www.imdb.com/title/tt9764362', 'tcourl': 'https://t.co/u4xge4ZiEp', 'indices': [35, 58]}]"
4982,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt237527…', 'url': 'https://www.imdb.com/title/tt23752726', 'tcourl': 'https://t.co/jFLwI2U8E2', 'indices': [37, 60]}]"
4983,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/nldIGNUjwT', 'indices': [74, 97]}]"
4984,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4761112', 'url': 'https://www.imdb.com/title/tt4761112', 'tcourl': 'https://t.co/dXp4dIrMaZ', 'indices': [101, 124]}]"
4985,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt163779…', 'url': 'https://www.imdb.com/title/tt16377920', 'tcourl': 'https://t.co/4NTqJFnIrg', 'indices': [52, 75]}]"
4986,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1600196', 'url': 'https://www.imdb.com/title/tt1600196', 'tcourl': 'https://t.co/F24FZb2ySF', 'indices': [35, 58]}]"
4987,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/TngDCT4IO5', 'indices': [64, 87]}]"
4988,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0298203', 'url': 'https://www.imdb.com/title/tt0298203', 'tcourl': 'https://t.co/stPBBUnEc3', 'indices': [33, 56]}]"
4989,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt108557…', 'url': 'https://www.imdb.com/title/tt10855768', 'tcourl': 'https://t.co/TP0pwIIHhF', 'indices': [34, 57]}]"
4990,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0765443', 'url': 'https://www.imdb.com/title/tt0765443', 'tcourl': 'https://t.co/YoaaCNnaAJ', 'indices': [43, 66]}]"
4991,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt148245…', 'url': 'https://www.imdb.com/title/tt14824590', 'tcourl': 'https://t.co/TakB7RZbJb', 'indices': [38, 61]}]"
4992,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt182337…', 'url': 'https://www.imdb.com/title/tt18233708', 'tcourl': 'https://t.co/PrpM0Dy1IP', 'indices': [74, 97]}]"
4993,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/AjnAX3aNfv', 'indices': [57, 80]}]"
4994,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0731144', 'url': 'https://www.imdb.com/title/tt0731144', 'tcourl': 'https://t.co/pSm4R9IdsK', 'indices': [74, 97]}]"
4995,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt144774…', 'url': 'https://www.imdb.com/title/tt14477482', 'tcourl': 'https://t.co/PLRAzTN3nb', 'indices': [105, 128]}]"
4996,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/q1GRl13KS1', 'indices': [37, 60]}]"
4997,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/zaiPyE9dJ6', 'indices': [257, 280]}]"
4998,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt109546…', 'url': 'https://www.imdb.com/title/tt10954600', 'tcourl': 'https://t.co/QqXb2SFh53', 'indices': [60, 83]}]"
4999,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4425200', 'url': 'https://www.imdb.com/title/tt4425200', 'tcourl': 'https://t.co/PlfMwsroW0', 'indices': [47, 70]}]"
5000,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0496424', 'url': 'https://www.imdb.com/title/tt0496424', 'tcourl': 'https://t.co/wPDT8pbgwQ', 'indices': [39, 62]}]"
5001,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0112950', 'url': 'https://www.imdb.com/title/tt0112950', 'tcourl': 'https://t.co/DHdIQ58XnU', 'indices': [41, 64]}]"
5002,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt132233…', 'url': 'https://www.imdb.com/title/tt13223398', 'tcourl': 'https://t.co/2r05rl1RRR', 'indices': [32, 55]}]"
5003,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0371746', 'url': 'https://www.imdb.com/title/tt0371746', 'tcourl': 'https://t.co/bbq60wNp77', 'indices': [38, 61]}]"
5004,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/ArXHDgoUeY', 'indices': [36, 59]}]"
5005,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3076658', 'url': 'https://www.imdb.com/title/tt3076658', 'tcourl': 'https://t.co/NL7SZU8hzf', 'indices': [33, 56]}]"
5006,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1008108', 'url': 'https://www.imdb.com/title/tt1008108', 'tcourl': 'https://t.co/7fTHFopfey', 'indices': [47, 70]}]"
5007,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt013752…', 'url': 'https://www.imdb.com/title/tt0137523/', 'tcourl': 'https://t.co/syFB0PdnJh', 'indices': [37, 60]}]"
5008,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0140352', 'url': 'https://www.imdb.com/title/tt0140352', 'tcourl': 'https://t.co/2SMj1Y16dT', 'indices': [38, 61]}]"
5009,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6886400', 'url': 'https://www.imdb.com/title/tt6886400', 'tcourl': 'https://t.co/h2x5kijemI', 'indices': [153, 176]}]"
5010,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/TzbNV1aEm9', 'indices': [108, 131]}]"
5011,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt264914…', 'url': 'https://www.imdb.com/title/tt26491408', 'tcourl': 'https://t.co/pUfqIGYZOD', 'indices': [59, 82]}]"
5012,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt218258…', 'url': 'https://www.imdb.com/title/tt21825858', 'tcourl': 'https://t.co/9DRGRzVATS', 'indices': [42, 65]}]"
5013,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/J8Z3jKygRw', 'indices': [55, 78]}]"
5014,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt224961…', 'url': 'https://www.imdb.com/title/tt22496160', 'tcourl': 'https://t.co/248vi9QQWN', 'indices': [72, 95]}]"
5015,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9711106', 'url': 'https://www.imdb.com/title/tt9711106', 'tcourl': 'https://t.co/0EjGpyl4pz', 'indices': [48, 71]}]"
5016,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt111385…', 'url': 'https://www.imdb.com/title/tt11138512', 'tcourl': 'https://t.co/nOzcaxH18M', 'indices': [39, 62]}]"
5017,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/hnfAfYcqqy', 'indices': [56, 79]}]"
5018,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0887883', 'url': 'https://www.imdb.com/title/tt0887883', 'tcourl': 'https://t.co/8Do2E1Wqdm', 'indices': [45, 68]}]"
5019,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0439817', 'url': 'https://www.imdb.com/title/tt0439817', 'tcourl': 'https://t.co/nA1w9AXiqd', 'indices': [34, 57]}]"
5020,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt108557…', 'url': 'https://www.imdb.com/title/tt10855768', 'tcourl': 'https://t.co/BHs7Z8pw27', 'indices': [37, 60]}]"
5021,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0156794', 'url': 'https://www.imdb.com/title/tt0156794', 'tcourl': 'https://t.co/mlzHZeHpn0', 'indices': [45, 68]}]"
5022,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt154749…', 'url': 'https://www.imdb.com/title/tt15474916', 'tcourl': 'https://t.co/IwxMUNunew', 'indices': [39, 62]}]"
5023,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7798604', 'url': 'https://www.imdb.com/title/tt7798604', 'tcourl': 'https://t.co/05hZPqt0qR', 'indices': [42, 65]}]"
5024,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0105121', 'url': 'https://www.imdb.com/title/tt0105121', 'tcourl': 'https://t.co/VioqNosXOm', 'indices': [54, 77]}]"
5025,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt146686…', 'url': 'https://www.imdb.com/title/tt14668630', 'tcourl': 'https://t.co/eIu77YlDNd', 'indices': [121, 144]}]"
5026,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt118132…', 'url': 'https://www.imdb.com/title/tt11813216', 'tcourl': 'https://t.co/N9dDf9Ru3K', 'indices': [54, 77]}]"
5027,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9114286', 'url': 'https://www.imdb.com/title/tt9114286', 'tcourl': 'https://t.co/rSXOx5TdCo', 'indices': [239, 262]}]"
5028,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7798604', 'url': 'https://www.imdb.com/title/tt7798604', 'tcourl': 'https://t.co/bbGHddKfUL', 'indices': [123, 146]}]"
5029,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt264203…', 'url': 'https://www.imdb.com/title/tt26420383', 'tcourl': 'https://t.co/Z0YmgVL2fx', 'indices': [62, 85]}]"
5030,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/PFPlhV28l7', 'indices': [42, 65]}]"
5031,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt146594…', 'url': 'https://www.imdb.com/title/tt14659496', 'tcourl': 'https://t.co/CHzi1J83FV', 'indices': [99, 122]}]"
5032,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1649418', 'url': 'https://www.imdb.com/title/tt1649418', 'tcourl': 'https://t.co/2gy6nG7HcW', 'indices': [39, 62]}]"
5033,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0734568', 'url': 'https://www.imdb.com/title/tt0734568', 'tcourl': 'https://t.co/zJlYtfjH8F', 'indices': [66, 89]}]"
5034,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0734645', 'url': 'https://www.imdb.com/title/tt0734645', 'tcourl': 'https://t.co/Ll8top4o6O', 'indices': [63, 86]}]"
5035,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt118132…', 'url': 'https://www.imdb.com/title/tt11813216', 'tcourl': 'https://t.co/y3gTI4ELv0', 'indices': [52, 75]}]"
5036,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0454921', 'url': 'https://www.imdb.com/title/tt0454921', 'tcourl': 'https://t.co/VoCYyoMI0a', 'indices': [52, 75]}]"
5037,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6412452', 'url': 'https://www.imdb.com/title/tt6412452', 'tcourl': 'https://t.co/IRNOcMp0H0', 'indices': [56, 79]}]"
5038,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0117381', 'url': 'https://www.imdb.com/title/tt0117381', 'tcourl': 'https://t.co/k4iCpuMq5R', 'indices': [39, 62]}]"
5039,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0072684', 'url': 'https://www.imdb.com/title/tt0072684', 'tcourl': 'https://t.co/vmMUp35MpC', 'indices': [40, 63]}]"
5040,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt141148…', 'url': 'https://www.imdb.com/title/tt14114802', 'tcourl': 'https://t.co/oRhKeS9hLg', 'indices': [38, 61]}]"
5041,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0454876', 'url': 'https://www.imdb.com/title/tt0454876', 'tcourl': 'https://t.co/mepwwpTJGv', 'indices': [38, 61]}]"
5042,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0209163', 'url': 'https://www.imdb.com/title/tt0209163', 'tcourl': 'https://t.co/c7T7eA5hKc', 'indices': [45, 68]}]"
5043,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0120647', 'url': 'https://www.imdb.com/title/tt0120647', 'tcourl': 'https://t.co/ZwpemmslJ6', 'indices': [39, 62]}]"
5044,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0452623', 'url': 'https://www.imdb.com/title/tt0452623', 'tcourl': 'https://t.co/VDf8dfpZiC', 'indices': [42, 65]}]"
5045,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0264616', 'url': 'https://www.imdb.com/title/tt0264616', 'tcourl': 'https://t.co/GyQl2wBGwA', 'indices': [35, 58]}]"
5046,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/midA7IuawB', 'indices': [55, 78]}]"
5047,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3675476', 'url': 'https://www.imdb.com/title/tt3675476', 'tcourl': 'https://t.co/J02W0MMKjQ', 'indices': [53, 76]}]"
5048,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt3508796', 'url': 'https://www.imdb.com/title/tt3508796', 'tcourl': 'https://t.co/kW0i4NZ8ws', 'indices': [62, 85]}]"
5049,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt218675…', 'url': 'https://www.imdb.com/title/tt21867590', 'tcourl': 'https://t.co/yKnXZKtT3V', 'indices': [109, 132]}]"
5050,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/Fee8qyqqmG', 'indices': [55, 78]}]"
5051,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt106968…', 'url': 'https://www.imdb.com/title/tt10696896', 'tcourl': 'https://t.co/rfZBvu6mVs', 'indices': [123, 146]}]"
5052,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157187…', 'url': 'https://www.imdb.com/title/tt15718732', 'tcourl': 'https://t.co/zPp4kzc5SF', 'indices': [170, 193]}]"
5053,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt9660502', 'url': 'https://www.imdb.com/title/tt9660502', 'tcourl': 'https://t.co/KQj3ZTVR1f', 'indices': [32, 55]}]"
5054,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/s4peRWXAjp', 'indices': [56, 79]}]"
5055,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0083190', 'url': 'https://www.imdb.com/title/tt0083190', 'tcourl': 'https://t.co/fKvEWht2Yx', 'indices': [72, 95]}]"
5056,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0770828', 'url': 'https://www.imdb.com/title/tt0770828', 'tcourl': 'https://t.co/RflEn2mRCn', 'indices': [72, 95]}]"
5057,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0286486', 'url': 'https://www.imdb.com/title/tt0286486', 'tcourl': 'https://t.co/BmYPdM6xJl', 'indices': [43, 66]}]"
5058,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt224936…', 'url': 'https://www.imdb.com/title/tt2249364/?ref_=ext_shr_tw', 'tcourl': 'https://t.co/I4PkBJJlSb', 'indices': [39, 62]}]"
5059,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/NbnBlNerkn', 'indices': [83, 106]}]"
5060,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt4273800', 'url': 'https://www.imdb.com/title/tt4273800', 'tcourl': 'https://t.co/2Gcr86fk2M', 'indices': [59, 82]}]"
5061,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0243664', 'url': 'https://www.imdb.com/title/tt0243664', 'tcourl': 'https://t.co/o9ROfJhYkx', 'indices': [32, 55]}]"
5062,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/HnuHW5dYlk', 'indices': [55, 78]}]"
5063,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138234…', 'url': 'https://www.imdb.com/title/tt13823494', 'tcourl': 'https://t.co/TU9Q6NazZf', 'indices': [38, 61]}]"
5064,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6079772', 'url': 'https://www.imdb.com/title/tt6079772', 'tcourl': 'https://t.co/gGwxwT3ipR', 'indices': [38, 61]}]"
5065,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7371868', 'url': 'https://www.imdb.com/title/tt7371868', 'tcourl': 'https://t.co/7NseXLlXdk', 'indices': [159, 182]}]"
5066,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt7923710', 'url': 'https://www.imdb.com/title/tt7923710', 'tcourl': 'https://t.co/AWt1VYzf2y', 'indices': [214, 237]}]"
5067,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt144447…', 'url': 'https://www.imdb.com/title/tt14444726', 'tcourl': 'https://t.co/eqA4axXAO0', 'indices': [81, 104]}]"
5068,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt1335975', 'url': 'https://www.imdb.com/title/tt1335975', 'tcourl': 'https://t.co/5Fvhdyomds', 'indices': [36, 59]}]"
5069,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2679042', 'url': 'https://www.imdb.com/title/tt2679042', 'tcourl': 'https://t.co/hoCH9bCDGd', 'indices': [69, 92]}]"
5070,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/5n0xJN6Ib9', 'indices': [60, 83]}]"
5071,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt138336…', 'url': 'https://www.imdb.com/title/tt13833688', 'tcourl': 'https://t.co/M3EHN0hams', 'indices': [37, 60]}]"
5072,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt6722802', 'url': 'https://www.imdb.com/title/tt6722802', 'tcourl': 'https://t.co/l9cXnjpi7d', 'indices': [34, 57]}]"
5073,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt136690…', 'url': 'https://www.imdb.com/title/tt13669038', 'tcourl': 'https://t.co/RPbnf5wLvu', 'indices': [40, 63]}]"
5074,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt103659…', 'url': 'https://www.imdb.com/title/tt10365998', 'tcourl': 'https://t.co/PFv02mKqFJ', 'indices': [43, 66]}]"
5075,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt157471…', 'url': 'https://www.imdb.com/title/tt15747172', 'tcourl': 'https://t.co/UqVI0ndmep', 'indices': [149, 172]}]"
5076,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt2382320', 'url': 'https://www.imdb.com/title/tt2382320', 'tcourl': 'https://t.co/kvf4TGCmAY', 'indices': [91, 114]}]"
5077,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0040202', 'url': 'https://www.imdb.com/title/tt0040202', 'tcourl': 'https://t.co/1LWOnBMSfa', 'indices': [44, 67]}]"
5078,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt142088…', 'url': 'https://www.imdb.com/title/tt14208870', 'tcourl': 'https://t.co/BvKPEK4UsX', 'indices': [40, 63]}]"
5079,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0064665', 'url': 'https://www.imdb.com/title/tt0064665', 'tcourl': 'https://t.co/NoWtsREx3n', 'indices': [42, 65]}]"
5080,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt185505…', 'url': 'https://www.imdb.com/title/tt18550588', 'tcourl': 'https://t.co/jo0bAazwia', 'indices': [61, 84]}]"
5081,"[{'_type': 'snscrape.modules.twitter.TextLink', 'text': 'imdb.com/title/tt0387575', 'url': 'https://www.imdb.com/title/tt0387575', 'tcourl': 'https://t.co/pNDPMhvvr5', 'indices': [42, 65]}]"
